,review_id,business_id,stars,text
0,15SdjuK7DmYqUAj6rjGowg,vcNAWiLM4dR7D2nwwJ7nCA,5,dr goldberg offers look general practitioner s nice easy talk patronizing s time seeing patients s affiliated notch hospital nyu parents explained important case happens need surgery referrals specialists having need m sitting trying think complaints m drawing blank
1,RF6UnRTtG7tWMcrO2GEoAg,vcNAWiLM4dR7D2nwwJ7nCA,2,unfortunately frustration dr goldberg s patient repeat experience i ve doctors nyc good doctor terrible staff it staff simply answers phone it usually takes 2 hours repeated calling answer who time wants deal i run problem doctors i t you office workers patients medical needs isn t answering phone it s incomprehensible work aggravation it s regret i feel i dr goldberg 2 stars
2,-TsVN230RCkLYKBeLsuz7A,vcNAWiLM4dR7D2nwwJ7nCA,4,dr goldberg doctor years i like i ve office fairly efficient today i actually got doctor minutes early he engaged patients demeanor friendly authoritative i m glad dr goldberg doctor
3,dNocEAyUucjT371NNND41Q,vcNAWiLM4dR7D2nwwJ7nCA,4,been going dr goldberg 10 years i think i 1st patients started mhmg he s great years big picture it gyn dr markoff i i fibroids he explores options patient understanding he t judge asks right questions very thorough wants kept loop aspect medical health life
4,ebcN2aqmNUuYNoyvQErgnA,vcNAWiLM4dR7D2nwwJ7nCA,4,got letter mail week said dr goldberg moving arizona new position june he missed i think finding new doctor nyc actually like awful trying date
5,_ePLBPrkrf4bhyiKWEn4Qg,vcNAWiLM4dR7D2nwwJ7nCA,1,i t know dr goldberg like moving arizona let tell stay away doctor office i going dr johnson left goldberg took johnson left he caring doctor he interested pay having come medication refills month he refills patients s financial situations trying 90 days mail away pharmacy prescriptions guy joke and matters worse office staff incompetent 90 time office ll voice mail no one answers returns both adult children husband decided leave practice experiencing frustration the entire office attitude like favor give break stay away doc practice you deserve better need i felt compelled write bad review i met pathetic excuse doctor money
6,kMu0knsSUFW2DZXqKkGWlg,vcNAWiLM4dR7D2nwwJ7nCA,5,top notch doctor notch practice can t i surprised i referred doctor i think wonderful went best medical schools country it easy appointment there minimal wait seen bedside manner great
7,onDPFgNZpMk-bT1zlForRA,vcNAWiLM4dR7D2nwwJ7nCA,5,dr eric goldberg fantastic doctor correctly diagnosed issue wife i unlike past doctors dr goldberg accessible able schedule appointments staff quickly we happy neighborhood look forward patients years come
8,I7Kte2FwXWPCwdm7ispu1A,JwUE5GmEO-sH1FuwJgKBlQ,4,pretty good dinner nice selection food open 24 hours provide nice service i usually night partying my favorite dish fried chicken eggs benedict
9,9uHZyOu5CTCDl1L6cfvOCA,JwUE5GmEO-sH1FuwJgKBlQ,4,good truck stop dining right price we love coming weekends t feel like cooking
10,ow1c4Lcl3ObWxDC2yurwjQ,JwUE5GmEO-sH1FuwJgKBlQ,4,if like lot lizards ll love pine cone
11,FRTCszJWkJonDAZx3yr8FA,JwUE5GmEO-sH1FuwJgKBlQ,4,enjoyable experience family the wait staff courteous friendly food reasonably priced good value a word advice leave room for dessert deserters great huge plan bring home
12,qQIvtbqUujvvnJDzPSfmFA,JwUE5GmEO-sH1FuwJgKBlQ,4,one favorite truck stop diners solid food friendly quick service my god desserts huge i t imagine eating giant cream puff all food delicious i love leave carafe coffee table love place would definitely i area
